,stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id,count
1266,49.274606,59914.0,-123.119683,10471,,,,Westbound Pacific Blvd @ Cambie St,0,BUS ZN,114
1267,49.279326,58169.0,-123.105758,10470,,,,Eastbound Keefer Place @ Taylor St,0,BUS ZN,116
1268,49.204888,59884.0,-122.95922,10479,,,,Westbound Southridge Dr @ 6600 Block,0,BUS ZN,60
1269,49.27487,59926.0,-123.101464,10478,,,,Eastbound National Ave @ Quebec St,0,BUS ZN,116
1270,49.134871,56596.0,-123.064805,11872,,,,Northbound Entertainment Blvd @ Steveston Hwy,0,BUS ZN,53
1271,49.085893,58538.0,-122.624161,8926,,,,Westbound 46 Ave @ 216 St,0,BUS ZN,17
1272,49.198765,55839.0,-122.841931,11870,,,,Eastbound 108 Ave @ Whalley Blvd,0,BUS ZN,95
1273,49.219851,61800.0,-123.065682,11871,,,,Victoria Dr @ 54th Avenue Loop,0,BUS ZN,38
1274,49.087942,58571.0,-122.615547,8923,,,,Eastbound Old Yale Rd @ 220 St,0,BUS ZN,17
1275,49.096719,58517.0,-122.624426,8922,,,,Northbound 216 St @ Fraser Hwy,0,BUS ZN,64
1276,49.266554,61802.0,-123.001462,11874,,,,Brentwood Station @ Bay 2,0,BUS ZN,82
1277,49.266221,61803.0,-122.99977,11875,,,,Brentwood Station @ Bay 3,0,BUS ZN,79
1278,49.13419,56425.0,-123.181213,6486,,,,Northbound No. 1 Rd @ Steveston Hwy,0,BUS ZN,70
1279,49.267569,61806.0,-123.003374,11878,,,,Southbound Willingdon Ave @ Buchanan St,0,BUS ZN,105
1280,49.268608,61807.0,-123.003388,11879,,,,Southbound Willingdon Ave @ Halifax St,0,BUS ZN,36
1281,49.08447,58541.0,-122.64711,8929,,,,Southbound 208 St @ 45A Ave,0,BUS ZN,35
1282,49.087955,58540.0,-122.647019,8928,,,,Southbound 208 St @ Grade Cres,0,BUS ZN,34
1283,49.177204,55361.0,-122.800892,5414,,,,Northbound 152 St @ 96 Ave,0,BUS ZN,105
1284,49.180299,55362.0,-122.800852,5415,,,,Northbound 152 St @ 98 Ave,0,BUS ZN,105
1285,49.18464,55363.0,-122.800733,5416,,,,Northbound 152 St @ 100 Ave,0,BUS ZN,105
1286,49.116703,57032.0,-122.676459,7100,,,,Eastbound Willowbrook Dr @ 197 St,0,BUS ZN,119
1287,49.116678,57033.0,-122.672775,7101,,,,Eastbound Willowbrook Dr @ 198 St,0,BUS ZN,56
1288,49.119671,57034.0,-122.668356,7102,,,,Northbound 200 St @ 64 Ave,0,BUS ZN,56
1289,49.186973,55364.0,-122.800723,5417,,,,Northbound 152 St @ 101 Ave,0,BUS ZN,105
1290,49.125858,57036.0,-122.668355,7104,,,,Northbound 200 St @ 68 Ave,0,BUS ZN,56
1291,49.130443,57037.0,-122.668181,7105,,,,Northbound 200 St @ 70 Ave,0,BUS ZN,56
1292,49.133409,57038.0,-122.6671,7106,,,,Eastbound 72 Ave @ 200 St,0,BUS ZN,32
1293,49.144835,57039.0,-122.661315,7107,,,,Northbound 202A St @ 7800 Block,0,BUS ZN,0
1294,49.134251,57040.0,-122.668046,7108,,,,Northbound 200 St @ 72 Ave,0,BUS ZN,56
1295,49.16676,55357.0,-122.801247,5410,,,,Northbound 152 St @ Fraser Hwy,0,BUS ZN,105
1296,49.168579,55358.0,-122.801188,5411,,,,Northbound 152 St @ 91 Ave,0,BUS ZN,105
1297,49.173796,55360.0,-122.801005,5413,,,,Northbound 152 St @ 94 Ave,0,BUS ZN,105
1298,49.229625,51668.0,-123.043009,1681,,,,Northbound Rupert St @ E 45 Ave,0,BUS ZN,58
1299,49.227532,51667.0,-123.041348,1680,,,,Northbound Rupert St @ Kerr St,0,BUS ZN,58
