,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,count
1334,WESTAMB2,1984,Western at Ambleside Dr SB - #1984,,43.018039,-81.278181,,,,,,0,0
1335,WESTBAS1,1985,Westminster at Baseline Rd NB - #1985,,42.964112,-81.224824,,,,,,0,0
1336,WESTBAS2,1986,Westminster at Baseline Rd SB - #1986,,42.964256,-81.22495,,,,,,0,0
1337,WESTELG1,1988,Western at Elgin Dr NB - #1988,,43.010811,-81.277338,,,,,,0,0
1338,WESTELG2,1989,Huron College - #1989,,43.008253,-81.277301,,,,,,0,0
1339,WESTESSE,1991,Western at Essex St NB - #1991,,42.995468,-81.266679,,,,,,0,0
1340,WESTHOL1,1992,Western at Hollywood Cres NB - #1992,,42.996215,-81.27057,,,,,,0,0
1341,WESTHOL2,1993,Western at Hollywood Crt SB - #1993,,42.996161,-81.27083,,,,,,0,0
1342,WESTLAM2,1996,Western at Lambton  SB - #1996,,43.005491,-81.276961,,,,,,0,0
1343,WESTMAL1,1997,Westmount Mall at Stop 1 - #1997,,42.947415,-81.29255,,,,,,0,0
1344,WESTMAL2,1998,Westmount Mall at Stop 2 - #1998,,42.947407,-81.292334,,,,,,0,0
1345,WESTMAL3,1999,Westmount Mall at Stop 3 - #1999,,42.947484,-81.292059,,,,,,0,0
1346,WESTPLA1,2001,Western at Platts Lane NB - #2001,,42.996613,-81.274624,,,,,,0,0
1347,WESTPLA2,2002,Western at Platts Lane SB - #2002,,42.996341,-81.274171,,,,,,0,0
1348,WESTSAR2,2003,Western at Sarnia Rd SB - #2003,,43.001194,-81.276529,,,,,,0,0
1349,WESTSAR4,2004,Althouse College - #2004,,42.999141,-81.276379,,,,,,0,0
1350,WESTWHE1,2007,Westminster at Whetter Ave NB - #2007,,42.965611,-81.225135,,,,,,0,0
1351,WESTWHE2,2008,Westminster at Whetter Ave SB - #2008,,42.966196,-81.225409,,,,,,0,0
1352,WEXFADMI,2009,Wexford at Admiral Dr. SB - #2009,,42.996197,-81.164915,,,,,,0,0
1353,WEXFROY1,2010,Wexford at Royal Cr NB - #2010,,42.997986,-81.165923,,,,,,0,0
1354,WEXFROY2,2011,Wexford at Royal Cr SB - #2011,,42.997897,-81.165965,,,,,,0,0
1355,WHARBAS1,2015,Wharncliffe & Base Line FS NB - #2015,,42.959796,-81.261022,,,,,,0,0
1356,WHARBAS2,2016,Wharncliffe at BaseLine NS SB - #2016,,42.959545,-81.261148,,,,,,0,0
1357,WHARBYR1,2022,Wharncliffe at Byron NB - #2022,,42.973704,-81.262004,,,,,,0,0
1358,WHARBYR2,2023,Wharncliffe at Byron  SB - #2023,,42.974058,-81.262197,,,,,,0,0
1359,WHARCENT,2024,Wharncliffe at Center SB - #2024,,42.961302,-81.261271,,,,,,0,0
1360,WHARCOM1,2026,Wharncliffe at Commissioners NB - #2026,,42.957951,-81.260699,,,,,,0,0
1361,WHARCOM2,2027,Wharncliffe at Commissioners SB - #2027,,42.957599,-81.260802,,,,,,0,0
1362,WHARDEVO,2029,Wharncliffe at Devonshire  NB - #2029,,42.962375,-81.2612,,,,,,0,0
